-- format: "symbol|delay milliseconds|bid|ask|last|high|low", |last|high|low can be empty
USDJPY|1800|103.54|103.65
USDJPY|1500|103.55|103.66
USDJPY|1500|103.56|103.67
USDJPY|1300|103.57|103.68
USDJPY|1500|103.58|103.69
XAUUSD|1000|1345.21|1345.57
USDJPY|1200|103.54|103.65
USDJPY|1050|103.55|103.66
USDJPY|1500|103.58|103.69
XAUUSD|1000|1345.31|1345.72
USDJPY|1200|103.54|103.65
USDJPY|1050|103.55|103.66
USDJPY|1350|103.56|103.67
USDJPY|1500|103.56|103.67
USDJPY|1300|103.57|103.68
USDJPY|1500|103.58|103.69
XAUUSD|1000|1345.20|1345.56
USDJPY|1200|103.54|103.65
USDJPY|1050|103.55|103.66
USDJPY|1350|103.56|103.67
USDJPY|2300|103.57|103.68
USDJPY|1500|103.58|103.69
XAUUSD|1000|1345.19|1345.55
USDJPY|1200|103.54|103.65
USDJPY|1050|103.55|103.66
USDJPY|1350|103.56|103.67
USDJPY|1300|103.57|103.68
USDJPY|1500|103.58|103.69
XAUUSD|1000|1345.36|1345.72
USDJPY|1200|103.54|103.65
USDJPY|1050|103.55|103.66
USDJPY|1350|103.56|103.67
